SampleID,Row.names.x,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name,HOST,Organism,Platform,Sample.Name,S.obs,S.chao1,se.chao1.x,S.ACE,se.ACE.x,sample_sums(g16F4),Row.names.y,S.obs_rare,S.chao1_rare,se.chao1.y,S.ACE_rare,se.ACE.y,sample_sums(g16F4Rare),Row.names.x,S.obs_antiRare,S.chao1_antiRare,se.chao1.x,S.ACE_antiRare,se.ACE.x,sample_sums(g16AntiRare),Row.names.y,S.obs_anti,S.chao1_anti,se.chao1.y,S.ACE_anti,se.ACE.y,sample_sums(g16Anti),AntiBdRARare,AntiBdRA
BCOM01,BCOM01,not applicable,not applicable,not applicable,SRX22506938,not applicable,not applicable,synthetic metagenome,ILLUMINA,BCOM01,6,6,0,NA,NA,4088,BCOM01,6,6,0,NA,NA,2022,BCOM01,0,0,NA,NA,NA,0,BCOM01,0,0,NA,NA,NA,0,0,0
BCOM03,BCOM03,not applicable,not applicable,not applicable,SRX22506978,not applicable,not applicable,synthetic metagenome,ILLUMINA,BCOM03,5,5,0,NA,NA,3393,BCOM03,5,5,0,NA,NA,2022,BCOM03,0,0,NA,NA,NA,0,BCOM03,0,0,NA,NA,NA,0,0,0
DMP01,DMP01,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507185,USA: Maryland,Desmognathus monticola,skin metagenome,ILLUMINA,DMP01,135,135.375,0.82640416,135.6685535,5.791650949,9588,DMP01,115,126.2068966,5.956990506,134.8063579,5.483083926,2022,DMP01,6,6,0,6,1.154700538,153,DMP01,7,7,0,7,1.195228609,749,0.075667656,0.078118481
DMP03,DMP03,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506852,USA: Maryland,Desmognathus ochrophaeus,skin metagenome,ILLUMINA,DMP03,300,301,1.580876161,300.6462168,8.624467608,7430,DMP03,269,290.9827586,8.296486107,296.2306385,6.86242998,2022,DMP03,9,9,0.15713484,9.428096,1.311075446,188,DMP03,9,9,0,9,1.414213562,690,0.09297725,0.092866756
DMP04,DMP04,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507205,USA: Maryland,Desmognathus monticola,skin metagenome,ILLUMINA,DMP04,291,291,0.049914015,291.1758737,8.501064602,7636,DMP04,254,283.6153846,10.485495,294.4245494,7.929347336,2022,DMP04,16,16.25,0.732774955,16.91666667,1.950355401,127,DMP04,16,16,0,16,1.854049622,495,0.0628091,0.064824515
DMP05,DMP05,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507206,USA: Maryland,Desmognathus ochrophaeus,skin metagenome,ILLUMINA,DMP05,261,262,1.817389613,261.4997222,7.29908378,7256,DMP05,244,256.5,6.692341621,253.0659869,6.679634507,2022,DMP05,18,18,0,18,2.068278941,336,DMP05,19,19,0,19,1.589438828,1151,0.166172107,0.158627343
DMP06,DMP06,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506921,USA: Maryland,Desmognathus ochrophaeus,skin metagenome,ILLUMINA,DMP06,184,184.5,1.027109209,184.5280979,6.395885574,5193,DMP06,177,181.3333333,3.403803705,180.8483986,5.74472511,2022,DMP06,9,9,0,9,1.414213562,369,DMP06,9,9,0,9,0.942809042,1017,0.182492582,0.195840555
DMP07,DMP07,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506932,USA: Maryland,Desmognathus fuscus,skin metagenome,ILLUMINA,DMP07,151,151.5,0.926870278,151.9552906,5.761400964,9869,DMP07,108,127.8333333,8.876017571,141.321099,6.104811191,2022,DMP07,14,14.2,0.618339439,14.77419355,1.540386252,65,DMP07,14,14,0.481812056,14.31592593,1.760749106,335,0.03214639,0.033944675
DMP08,DMP08,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506940,USA: Maryland,Desmognathus ochrophaeus,skin metagenome,ILLUMINA,DMP08,604,620.4347826,8.227593483,611.3606093,12.22515002,16288,DMP08,427,554.5111111,27.14516472,570.6802412,12.19052224,2022,DMP08,22,25.75,4.197604097,26.98854496,2.465293758,279,DMP08,25,25,0.244948974,25.41753602,2.25132695,2463,0.137982196,0.151215619
DMP09,DMP09,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506951,USA: Maryland,Desmognathus fuscus,skin metagenome,ILLUMINA,DMP09,401,405.5,4.10753927,402.812704,9.830292012,22598,DMP09,270,365.9230769,27.45444642,354.9872428,9.430962972,2022,DMP09,10,11,1.800673275,12.72413793,1.646301884,42,DMP09,14,14,0,14,1.535298947,434,0.020771513,0.019205239
DMP10,DMP10,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506962,USA: Maryland,Desmognathus fuscus,skin metagenome,ILLUMINA,DMP10,260,261.9090909,2.15721846,261.3876966,7.625367553,26747,DMP10,122,202,26.76971693,211.6582782,8.21903646,2022,DMP10,9,15,7.122733558,12.57894737,1.566791217,31,DMP10,16,16,0.484122918,16.25244205,1.946733354,345,0.015331355,0.012898643
DMP11,DMP11,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507212,USA: Maryland,Desmognathus ochrophaeus,skin metagenome,ILLUMINA,DMP11,523,525.625,2.828186813,524.1343874,11.37721204,13558,DMP11,409,473.9009901,15.93695299,497.0187198,10.33241104,2022,DMP11,15,15,0,15,1.549193338,172,DMP11,17,17,0,17,1.748949264,1142,0.085064293,0.084230712
